explanatory,niche_resiliance_merlin_estimate,niche_resiliance_merlin_error,niche_resiliance_merlin_p,model,niche_resiliance_birdlife_estimate,niche_resiliance_birdlife_error,niche_resiliance_birdlife_p,niche_resiliance_both_estimate,niche_resiliance_both_error,niche_resiliance_both_p,niche_resiliance_either_estimate,niche_resiliance_either_error,niche_resiliance_either_p,niche_2_resiliance_merlin_estimate,niche_2_resiliance_merlin_error,niche_2_resiliance_merlin_p,niche_2_resiliance_birdlife_estimate,niche_2_resiliance_birdlife_error,niche_2_resiliance_birdlife_p,niche_2_resiliance_both_estimate,niche_2_resiliance_both_error,niche_2_resiliance_both_p,niche_2_resiliance_either_estimate,niche_2_resiliance_either_error,niche_2_resiliance_either_p,niche_3_resiliance_merlin_estimate,niche_3_resiliance_merlin_error,niche_3_resiliance_merlin_p,niche_3_resiliance_birdlife_estimate,niche_3_resiliance_birdlife_error,niche_3_resiliance_birdlife_p,niche_3_resiliance_both_estimate,niche_3_resiliance_both_error,niche_3_resiliance_both_p,niche_3_resiliance_either_estimate,niche_3_resiliance_either_error,niche_3_resiliance_either_p
closed_forest,-4.719581357904289,0.6466384025610488,0,full,-4.632694561169032,0.7117385741726452,0,-5.02409026436218,0.7567685104925441,0,-4.597996782340278,0.6215259375260211,0,-3.7987200510532197,0.6762985478972129,0,-3.661800141450561,0.7217403725472008,4e-7,-3.8392985056625264,0.7449269670334289,3e-7,-3.920014419174407,0.6348773961503997,0,-4.459381488871562,0.6459916389058583,0,-4.68525967822088,0.6610011669211238,0,-5.149573815731851,0.7115641932888589,0,-4.132677276978835,0.5999234368375119,0
cultivated,-2.4242318150620252,0.9159749365222771,0.0081393,full,-1.7052460317987124,1.0301883233482974,0.0979068,-2.6873198417665054,1.013235509657514,0.0080055,-2.113649450718162,0.8700713506368816,0.0151431,-2.3753199477197073,0.9480252895447087,0.0122387,-1.0300707104849771,1.0211223772166618,0.3131366,-2.4845612964374015,1.0270906152409383,0.0155768,-1.990922610523528,0.9015850049671731,0.0272491,-0.5354076274856078,0.8045757480951337,0.5058026,-0.05816511424355321,0.5958251604139051,0.9222441,-0.6397058836204119,0.9092168680908695,0.4817401,-0.20847771004504867,0.6054882310514638,0.7306424
elevation_delta_scaled,-0.43985368702789485,0.6979666312339051,0.5286073,full,-0.04547842029593246,0.504952613260389,0.9282454,-0.17082879102537268,0.6125188099662862,0.7803517,-0.2532240703211653,0.5744203543682199,0.6593664,-0.4479861406518625,0.7208337183297363,0.5343219,0.016547968056284515,0.5176280590119449,0.9745005,-0.11154408718445039,0.594828935126796,0.8512708,-0.2746659121819121,0.5989181467777046,0.6465555,-0.30730091024055467,0.5961561145463373,0.6062599,-0.07532840770174178,0.4753183167712159,0.8740952,-0.177433907480248,0.565176696741395,0.7535931,-0.1949104854999182,0.5109841385766161,0.7029065
herbaceous_vegetation,-0.578052958977877,0.9137122794008947,0.527011,full,-0.40550761469085544,0.8817314313054828,0.645628,-1.2540303803604798,1.1837660188009038,0.289487,-0.24848624173653144,0.7275146901888823,0.7327181,-0.2775337026842165,0.8007724634230349,0.7289382,-0.13852164352267463,0.787798441830588,0.8604435,-0.5609125390739551,0.9909462338698839,0.5714114,-0.18175359144319894,0.7255395814202908,0.8022204,-0.658525529136265,0.9159803194137208,0.4722284,-0.6702676067253861,0.947888427528862,0.4795393,-1.6253633825552547,1.1739540474873889,0.1662438,-0.2168144007700481,0.6765636353779126,0.7486472
herbaceous_wetland,36.628898496008674,2.876342071523454,0,full,39.988748592725536,3.0311054672352906,0,42.09417208203214,3.1933740763077876,0,34.30747674973666,2.74024634804172,0,30.227635278135097,2.9721360811723008,0,32.47693966281223,3.08806507814171,0,33.73785765587023,3.2288276697747342,0,28.30573279243194,2.8429638055360122,0,38.36589186803129,2.7265166565083754,0,41.56866892191363,2.8673108234679865,0,44.27812923812952,3.0657842901458783,0,36.26763960942211,2.5933264801609885,0
mean_elevation_scaled,2.454478994680773,1.4770368968980994,0.0966024,full,1.1949357528619258,1.2707496880124274,0.3470933,1.9853712576555742,1.5393329607087054,0.1971837,1.5032781179874999,1.3474222021194724,0.2646073,3.4673045602939845,1.5241157230421083,0.0229268,1.8299540233748333,1.3909975890734607,0.1883705,2.7678551508283045,1.5286720253488653,0.0702385,2.690550579830775,1.3334634815272577,0.0436502,2.065934339128446,1.4073790616450248,0.1421663,1.3895017525613942,1.231665939368888,0.2593047,2.4145121868421757,1.3919078141203227,0.0828376,1.2577810615935994,1.2171638437330492,0.3014742
realmAfrotropic,-0.15336333935766325,1.38156524744233,0.9116234,full,0.7543336397276756,1.1729506834908567,0.5202134,1.3750819219532986,1.399299857794346,0.3258274,0.08168375650282902,1.1748421762061516,0.9445776,-2.2913368961245784,1.4941906368109594,0.1252075,-0.21393697937682277,1.1360317689504817,0.850647,0.44121663406846734,1.5085694541353913,0.7699567,-1.6248005312363725,1.2882804345514527,0.207296,0.11603087656268458,1.2633637560486999,0.9268333,0.36309291472002114,1.0624021336933125,0.7325632,0.22128670201855333,1.287548501951932,0.8635617,0.4944037685857421,1.0703146833786128,0.6441827
realmAustralasia,2.1470306200320954,2.176356105200335,0.3239448,full,3.0336666360253925,1.7435448019576993,0.0819131,1.2212434733936761,2.158525860112275,0.5716009,2.1399299232576205,1.7956369606396978,0.2334308,1.0782919124178028,2.3786240681959927,0.650361,1.6221391556320939,1.9346397134783084,0.4018196,0.452453958236753,2.370567315002633,0.8486543,0.5572808332535122,2.0077293188468794,0.7813748,2.460685171448311,1.9721386138310282,0.2121977,1.8123832998878284,1.6068970719059317,0.2594358,1.472407166402392,1.966960827458471,0.4541814,1.768752575007406,1.6191867086079066,0.274739
realmIndomalayan,2.0290260682455585,0.8577421586553038,0.0180202,full,1.5847430077681022,0.7110277309383,0.025848,2.8904056679817733,0.8600545093003834,7.787e-4,1.3020609712139495,0.7181519841788339,0.0698609,0.15764664926178049,0.9330719966293098,0.8658516,0.17181512158658563,0.6974599624827417,0.8054426,1.6170969348526323,0.9369250470321147,0.0843989,-0.32811976379482755,0.7965922823881757,0.680453,2.2405744559958483,0.7793713392342448,0.0040475,1.2328925914896114,0.6867103503834606,0.0726311,2.023386016760349,0.7877076050562123,0.0102188,1.6721904574015378,0.6479459326151734,0.009869
realmNearctic,2.799544027651382,0.97131982633587155,0.0039542,full,2.242052260479363,0.7746428884354559,0.003805,2.935570265914053,0.9609366134862536,0.0022546,1.9455888837230333,0.7986942089465113,0.0148666,1.6744029499187796,1.0631739177354638,0.1153295,0.26497684103174096,0.7778902027790043,0.7334137,1.6835987280813116,1.0571204912444083,0.1112952,0.2928389606749504,0.8943574844328253,0.7433787,1.6222568893069502,0.8793168721795153,0.0650897,0.9385298984118383,0.7209375682834416,0.1930372,1.6021247616106888,0.8745697759011355,0.0670054,1.0574152205830707,0.7194413391906499,0.1416805
realmNeotropic,1.8914269429186332,1.0184417912345847,0.0633236,full,1.8265924063307977,0.8464405482272035,0.0309537,2.840593251120613,1.0263670330673749,0.0056535,1.2210682168972602,0.8599286621680305,0.1556754,-0.8340699057687752,1.1041233017001117,0.4500658,-0.4508328561758339,0.8601564537529308,0.6002361,0.5644350809345543,1.1099860364664633,0.6111494,-1.5554894085665216,0.9447345828619843,0.099713,2.394312774737122,0.9306640815876457,0.0101016,1.3592239729456717,0.8191027061597582,0.0970744,2.4749117991470295,0.9391893482650139,0.0084191,1.5127858266148217,0.7799057192807157,0.0524484
shrubs,-6.864295566322443,1.3270279404446772,2e-7,full,-8.83101437898409,1.3780714999283585,0,-9.7201282513856615,1.4706463490353383,0,-6.615742013213249,1.2573761110884611,1e-7,-7.0650407537227755,1.3734741463873101,3e-7,-8.948275262773803,1.4157073071945134,0,-9.811492513100799,1.481943537577731,0,-7.10014646516217,1.301722811045159,0,-6.4322196920164085,1.2590858548536017,3e-7,-8.342355397208204,1.3015110993421108,0,-9.57624574717595,1.402204504473603,0,-5.803499110864659,1.1873549822759433,1e-6
urban,-6.0330403368241186,0.3055227816179715,0,full,-6.392310198832053,0.3239496117437971,0,-6.729010982050715,0.3449588900094439,0,-5.794439257637187,0.29153678373946884,0,-5.272306715400129,0.31115717758837586,0,-5.468839735442508,0.3241731357949705,0,-5.6727177336043795,0.34252884712660564,0,-5.134784618157622,0.2966047006868103,0,-5.504634414351632,0.29792220665550845,0,-6.175283076771371,0.2940924064369465,0,-6.568147634598786,0.32231232248897534,0,-5.315962865250617,0.27312463324897635,0
open_forest,-0.017838998955442328,0.6075091618810533,0.9765775,full,-1.6168682511122527,1.0232468202560783,0.1141165,-1.3074782019183178,1.087462360638301,0.2292858,-0.28489267914706623,0.6693790800559527,0.67043,0.4430600598653359,0.7980936554740654,0.5788343,-1.155836321201461,1.0292332274730112,0.2614831,-0.7056996519767041,0.9673071774102264,0.4657088,-0.050980175844606734,0.5991676168365705,0.9322034,-1.5044532045942693,0.9544916016141048,0.1150209,-2.8322212137429554,0.8898765052016879,0.0014613,-2.9531559054974186,0.955165050256336,0.0019926,-1.7638190943428411,0.8134469153833531,0.0301571
permanent_water,0.19669592879080813,0.48440655271870486,0.6847349,full,-0.20408044556973728,0.5131944476545172,0.6909083,-0.2766488183585022,0.5867299070237643,0.6373129,0.21759616793659076,0.48208499783098835,0.6517611,0.0700713884048393,0.43546164623720107,0.8721793,-0.10288301126063058,0.4508570764197554,0.8195179,-0.16055881732794655,0.5235928268674084,0.7591401,0.07955713170173838,0.4138436512182567,0.8475749,0.3896206536521129,0.5843459792803641,0.5049603,-0.0738437847488925,0.3976919228621925,0.8527144,-0.08030798186668378,0.4417363653610739,0.8557582,0.27829205881287833,0.5017710238518487,0.5791905
closed_forest,-4.719581357904289,0.6466384025610488,0,subset,-4.632694561169032,0.7117385741726452,0,-5.02409026436218,0.7567685104925441,0,-4.597996782340278,0.6215259375260211,0,-3.7987200510532197,0.6762985478972129,0,-3.661800141450561,0.7217403725472008,4e-7,-3.8392985056625264,0.7449269670334289,3e-7,-3.920014419174407,0.6348773961503997,0,-4.459381488871562,0.6459916389058583,0,-4.68525967822088,0.6610011669211238,0,-5.149573815731851,0.7115641932888589,0,-4.132677276978835,0.5999234368375119,0
cultivated,-2.4242318150620252,0.9159749365222771,0.0081393,subset,-1.8289726999826388,0.9549861857475782,0.0555041,-2.6873198417665054,1.013235509657514,0.0080055,-2.113649450718162,0.8700713506368816,0.0151431,-2.3753199477197073,0.9480252895447087,0.0122387,-1.331542848161897,0.9728481629274104,0.1711523,-2.4845612964374015,1.0270906152409383,0.0155768,-1.990922610523528,0.9015850049671731,0.0272491,-0.9006586756953177,0.8717726390866489,0.3016093,-0.13343075010938582,0.8968526077641102,0.8817467,-1.0037919814785548,0.9652500318346767,0.2984419,-0.446114783115739,0.8237089508305182,0.5881521
elevation_delta_scaled,-0.8185890540061048,0.7723956029245856,0.2893024,subset,-0.11457737548299085,0.796534287035296,0.8856385,-0.36844972324837516,0.8581298899181364,0.6677015,-0.540295502294584,0.7408901643487471,0.4659073,-0.8124183254032046,0.8038782334001056,0.3122661,0.041612948732083814,0.8202066955137162,0.9595426,-0.2463627980266893,0.8650181907720361,0.7758237,-0.5714223223180959,0.759395801279978,0.4518336,-0.6639023822936624,0.7287476518505552,0.3623545,-0.19642379594534887,0.7518875322059236,0.7939345,-0.4184075621619168,0.807719864351496,0.6045026,-0.4452369626431534,0.6964129597106324,0.5226645
herbaceous_vegetation,-0.9537265964030995,1.0095335468855873,0.3448708,subset,-0.7043529840813231,1.067666720038014,0.5094984,-1.5586790271867155,1.1255570605817142,0.1661714,-0.49424600238235444,0.9650295558897495,0.6085924,-0.5315397343073884,1.0455135219673721,0.6112235,-0.2727310713936574,1.0887283518896633,0.8022249,-0.9421831642463897,1.1358819763328545,0.406904,-0.36710338074797505,0.9975912982150418,0.7129203,-1.0325703996276947,0.9640324853146228,0.2841948,-1.0430498118124625,1.0046770175919224,0.2992486,-1.849710918537838,1.0739727181276184,0.0850586,-0.4456860533041664,0.9159296152739388,0.6265948
herbaceous_wetland,36.628898496008674,2.876342071523454,0,subset,39.988748592725536,3.0311054672352906,0,42.09417208203214,3.1933740763077876,0,34.30747674973666,2.74024634804172,0,30.227635278135097,2.9721360811723008,0,32.47693966281223,3.08806507814171,0,33.73785765587023,3.2288276697747342,0,28.30573279243194,2.8429638055360122,0,38.36589186803129,2.7265166565083754,0,41.56866892191363,2.8673108234679865,0,44.27812923812952,3.0657842901458783,0,36.26763960942211,2.5933264801609885,0
mean_elevation_scaled,2.5302140692602415,1.4343390020671463,0.0777674,subset,1.5687709008801198,1.2383594232142467,0.2052864,2.2351045156846654,1.4523853999047043,0.1238769,1.911430748304634,1.2362553318822642,0.122121,3.4673045602939845,1.5241157230421083,0.0229268,1.996365567527809,1.3336449126056165,0.1344673,2.7678551508283045,1.5286720253488653,0.0702385,2.690550579830775,1.3334634815272577,0.0436502,2.2670050268536985,1.3105968904775083,0.0837173,1.715113651168339,1.1463111624746887,0.1346562,2.4790950392998257,1.3524502538515608,0.066835,1.6736833826124546,1.129279861869775,0.1383739
realmAfrotropic,-0.15336333935766325,1.38156524744233,0.9116234,subset,0.7543336397276756,1.1729506834908567,0.5202134,1.3750819219532986,1.399299857794346,0.3258274,0.08168375650282902,1.1748421762061516,0.9445776,-2.2913368961245784,1.4941906368109594,0.1252075,-0.27806827612674306,1.2882567118844301,0.8291298,0.44121663406846734,1.5085694541353913,0.7699567,-1.6248005312363725,1.2882804345514527,0.207296,0.11603087656268458,1.2633637560486999,0.9268333,0.3802723288268893,1.084236496643629,0.7258295,0.22128670201855333,1.287548501951932,0.8635617,0.4944037685857421,1.0703146833786128,0.6441827
realmAustralasia,2.1470306200320954,2.176356105200335,0.3239448,subset,3.0336666360253925,1.7435448019576993,0.0819131,1.2212434733936761,2.158525860112275,0.5716009,2.1399299232576205,1.7956369606396978,0.2334308,1.0782919124178028,2.3786240681959927,0.650361,2.108403324933426,1.959481532320138,0.2819961,0.452453958236753,2.370567315002633,0.8486543,0.5572808332535122,2.0077293188468794,0.7813748,2.460685171448311,1.9721386138310282,0.2121977,1.898134582732755,1.5942149542339132,0.2338624,1.472407166402392,1.966960827458471,0.4541814,1.768752575007406,1.6191867086079066,0.274739
realmIndomalayan,2.0290260682455585,0.8577421586553038,0.0180202,subset,1.5847430077681022,0.7110277309383,0.025848,2.8904056679817733,0.8600545093003834,7.787e-4,1.3020609712139495,0.7181519841788339,0.0698609,0.15764664926178049,0.9330719966293098,0.8658516,0.22331966549801888,0.7878897847103618,0.7768703,1.6170969348526323,0.9369250470321147,0.0843989,-0.32811976379482755,0.7965922823881757,0.680453,2.2405744559958483,0.7793713392342448,0.0040475,1.2912257935980083,0.6469634704469585,0.0459842,2.023386016760349,0.7877076050562123,0.0102188,1.6721904574015378,0.6479459326151734,0.009869
realmNearctic,2.799544027651382,0.97131982633587155,0.0039542,subset,2.242052260479363,0.7746428884354559,0.003805,2.935570265914053,0.9609366134862536,0.0022546,1.9455888837230333,0.7986942089465113,0.0148666,1.6744029499187796,1.0631739177354638,0.1153295,0.34440821597946086,0.8712918285430353,0.6926747,1.6835987280813116,1.0571204912444083,0.1112952,0.2928389606749504,0.8943574844328253,0.7433787,1.6222568893069502,0.8793168721795153,0.0650897,0.98293559492323,0.7075977577926305,0.164858,1.6021247616106888,0.8745697759011355,0.0670054,1.0574152205830707,0.7194413391906499,0.1416805
realmNeotropic,1.8914269429186332,1.0184417912345847,0.0633236,subset,1.8265924063307977,0.8464405482272035,0.0309537,2.840593251120613,1.0263670330673749,0.0056535,1.2210682168972602,0.8599286621680305,0.1556754,-0.8340699057687752,1.1041233017001117,0.4500658,-0.5859777748721985,0.9393964700574051,0.5328292,0.5644350809345543,1.1099860364664633,0.6111494,-1.5554894085665216,0.9447345828619843,0.099713,2.394312774737122,0.9306640815876457,0.0101016,1.4235344305408628,0.7817451664272709,0.0686499,2.4749117991470295,0.9391893482650139,0.0084191,1.5127858266148217,0.7799057192807157,0.0524484
shrubs,-6.864295566322443,1.3270279404446772,2e-7,subset,-8.83101437898409,1.3780714999283585,0,-9.7201282513856615,1.4706463490353383,0,-6.615742013213249,1.2573761110884611,1e-7,-7.0650407537227755,1.3734741463873101,3e-7,-8.948275262773803,1.4157073071945134,0,-9.811492513100799,1.481943537577731,0,-7.10014646516217,1.301722811045159,0,-6.4322196920164085,1.2590858548536017,3e-7,-8.342355397208204,1.3015110993421108,0,-9.57624574717595,1.402204504473603,0,-5.803499110864659,1.1873549822759433,1e-6
urban,-6.0330403368241186,0.3055227816179715,0,subset,-6.392310198832053,0.3239496117437971,0,-6.729010982050715,0.3449588900094439,0,-5.794439257637187,0.29153678373946884,0,-5.272306715400129,0.31115717758837586,0,-5.468839735442508,0.3241731357949705,0,-5.6727177336043795,0.34252884712660564,0,-5.134784618157622,0.2966047006868103,0,-5.504634414351632,0.29792220665550845,0,-6.175283076771371,0.2940924064369465,0,-6.568147634598786,0.32231232248897534,0,-5.315962865250617,0.27312463324897635,0
open_forest,-0.0393547461129226,0.9018622424742766,0.9651985,subset,-1.753288804756398,0.9466737412767509,0.0640562,-1.5752580342755567,1.0014743090600267,0.1157845,-0.5736265188371072,0.8582263974469473,0.5039479,0.8012610389199883,0.929999506476104,0.3889913,-1.4159900172385544,0.9640415955857885,0.1419422,-1.1182543097929045,1.0106166621258432,0.2685756,-0.11297860980140449,0.8880256869687553,0.8987772,-1.6683969560692533,0.8583767532935445,0.0519688,-2.8322212137429554,0.8898765052016879,0.0014613,-2.9531559054974186,0.955165050256336,0.0019926,-1.7638190943428411,0.8134469153833531,0.0301571
permanent_water,0.46453715631551856,0.6555535590752214,0.4786243,subset,-0.4868767440934479,0.7004527113654456,0.4870617,-0.5775285410914808,0.7381662541878048,0.4340546,0.49427941079616083,0.6254291731882736,0.4294159,0.17842751682209176,0.6808274011545448,0.7932927,-0.28296804737492787,0.7128243416637056,0.6914327,-0.36882710701303095,0.7436036738804925,0.6199441,0.20673638107439854,0.6471159423604916,0.7494022,0.7194652357269088,0.6270737570888489,0.2513085,-0.2143859953663355,0.6550132527151468,0.7434761,-0.21701070355029,0.7054240515620405,0.7583959,0.5895566986110181,0.5914988220175982,0.3189714
