trophic_niche,percent,merlin_niche_count,merlin_remaining_species,birdlife_niche_count,birdlife_remaining_species
Omnivore,0,0,true,0,true
Omnivore,5,11,true,12,true
Omnivore,10,14,true,15,true
Omnivore,15,16,true,15,true
Omnivore,20,17,true,17,true
Omnivore,25,18,true,19,true
Omnivore,30,19,true,22,true
Omnivore,35,21,true,22,true
Omnivore,40,25,true,25,true
Omnivore,45,27,true,27,false
Omnivore,50,27,false,27,false
Omnivore,55,30,false,29,false
Omnivore,60,30,false,31,false
Omnivore,65,31,false,31,false
Omnivore,75,32,false,33,false
Omnivore,70,32,false,31,false
Omnivore,85,33,false,33,false
Omnivore,80,33,false,33,false
Omnivore,90,34,false,33,false
Omnivore,95,34,false,34,false
Omnivore,100,34,false,34,false
Frugivore,0,0,true,0,true
Frugivore,5,6,true,5,true
Frugivore,10,9,true,7,true
Frugivore,15,9,true,7,true
Frugivore,20,10,true,9,true
Frugivore,45,12,false,12,false
Frugivore,35,12,true,11,true
Frugivore,40,12,true,12,true
Frugivore,30,12,true,11,true
Frugivore,25,12,true,11,true
Frugivore,50,14,false,14,false
Frugivore,55,16,false,14,false
Frugivore,60,17,false,17,false
Frugivore,65,21,false,18,false
Frugivore,70,23,false,20,false
Frugivore,85,24,false,24,false
Frugivore,95,24,false,24,false
Frugivore,75,24,false,23,false
Frugivore,80,24,false,24,false
Frugivore,90,24,false,24,false
Frugivore,100,24,false,24,false
Granivore,0,0,true,0,true
Granivore,5,5,true,4,true
Granivore,20,6,true,7,true
Granivore,10,6,true,6,true
Granivore,15,6,true,7,true
Granivore,35,7,true,8,true
Granivore,25,7,true,7,true
Granivore,30,7,true,7,true
Granivore,50,8,false,9,false
Granivore,55,8,false,9,false
Granivore,65,8,false,9,false
Granivore,40,8,true,8,true
Granivore,45,8,true,8,false
Granivore,60,8,false,9,false
Granivore,70,9,false,9,false
Granivore,75,9,false,9,false
Granivore,85,9,false,10,false
Granivore,80,9,false,10,false
Granivore,95,10,false,10,false
Granivore,100,10,false,10,false
Granivore,90,10,false,10,false
Scavenger,5,0,true,0,true
Scavenger,10,0,true,1,true
Scavenger,0,0,true,0,true
Scavenger,15,1,true,1,true
Scavenger,20,1,true,1,true
Scavenger,25,1,true,1,true
Scavenger,30,2,true,1,true
Scavenger,35,2,true,2,true
Scavenger,60,3,false,3,false
Scavenger,90,3,false,3,false
Scavenger,75,3,false,3,false
Scavenger,55,3,false,3,false
Scavenger,85,3,false,3,false
Scavenger,95,3,false,3,false
Scavenger,80,3,false,3,false
Scavenger,70,3,false,3,false
Scavenger,65,3,false,3,false
Scavenger,40,3,true,3,true
Scavenger,100,3,false,3,false
Scavenger,50,3,false,3,false
Scavenger,45,3,false,3,false
Vertivore,0,0,true,0,true
Vertivore,5,4,true,3,true
Vertivore,10,9,true,8,true
Vertivore,15,11,true,11,true
Vertivore,20,14,true,14,true
Vertivore,30,17,true,19,true
Vertivore,25,17,true,17,true
Vertivore,35,20,true,20,true
Vertivore,45,22,true,23,false
Vertivore,40,22,true,21,true
Vertivore,50,23,false,23,false
Vertivore,55,24,false,24,false
Vertivore,60,25,false,25,false
Vertivore,65,26,false,25,false
Vertivore,70,26,false,26,false
Vertivore,80,27,false,27,false
Vertivore,75,27,false,26,false
Vertivore,90,28,false,28,false
Vertivore,85,28,false,28,false
Vertivore,100,29,false,29,false
Vertivore,95,29,false,28,false
Invertivore,0,0,true,0,true
Invertivore,5,15,true,13,true
Invertivore,10,24,true,22,true
Invertivore,15,26,true,25,true
Invertivore,20,27,true,26,true
Invertivore,25,28,true,28,true
Invertivore,30,33,true,30,true
Invertivore,35,35,true,32,true
Invertivore,40,39,true,36,true
Invertivore,45,43,true,43,false
Invertivore,50,47,false,47,false
Invertivore,55,50,false,51,false
Invertivore,60,52,false,54,false
Invertivore,65,55,false,57,false
Invertivore,70,56,false,60,false
Invertivore,75,60,false,62,false
Invertivore,80,62,false,64,false
Invertivore,85,67,false,65,false
Invertivore,90,70,false,66,false
Invertivore,100,71,false,69,false
Invertivore,95,71,false,67,false
Nectarivore,0,0,true,0,true
Nectarivore,5,3,true,2,true
Nectarivore,10,5,true,4,true
Nectarivore,15,5,true,6,true
Nectarivore,20,6,true,6,true
Nectarivore,40,6,true,6,false
Nectarivore,35,6,true,6,true
Nectarivore,25,6,true,6,true
Nectarivore,45,6,false,6,false
Nectarivore,50,6,false,6,false
Nectarivore,30,6,true,6,true
Nectarivore,55,7,false,6,false
Nectarivore,60,7,false,7,false
Nectarivore,65,8,false,7,false
Nectarivore,70,8,false,8,false
Nectarivore,80,9,false,9,false
Nectarivore,75,9,false,8,false
Nectarivore,100,10,false,9,false
Nectarivore,85,10,false,9,false
Nectarivore,95,10,false,9,false
Nectarivore,90,10,false,9,false
Aquatic predator,0,0,true,0,true
Aquatic predator,5,9,true,9,true
Aquatic predator,10,19,true,15,true
Aquatic predator,15,25,true,23,true
Aquatic predator,20,30,true,29,true
Aquatic predator,25,32,true,34,true
Aquatic predator,30,40,true,38,true
Aquatic predator,35,45,true,45,true
Aquatic predator,40,47,true,47,true
Aquatic predator,45,50,true,52,false
Aquatic predator,50,53,false,52,false
Aquatic predator,60,54,false,53,false
Aquatic predator,55,54,false,53,false
Aquatic predator,65,55,false,53,false
Aquatic predator,70,56,false,54,false
Aquatic predator,75,56,false,54,false
Aquatic predator,80,56,false,56,false
Aquatic predator,95,57,false,56,false
Aquatic predator,90,57,false,56,false
Aquatic predator,85,57,false,56,false
Aquatic predator,100,58,false,57,false
Herbivore aquatic,0,0,true,0,true
Herbivore aquatic,5,2,true,3,true
Herbivore aquatic,10,5,true,4,true
Herbivore aquatic,15,7,true,5,true
Herbivore aquatic,30,11,true,10,true
Herbivore aquatic,25,11,true,9,true
Herbivore aquatic,20,11,true,7,true
Herbivore aquatic,35,12,true,11,true
Herbivore aquatic,100,15,false,15,false
Herbivore aquatic,60,15,false,15,false
Herbivore aquatic,85,15,false,15,false
Herbivore aquatic,70,15,false,15,false
Herbivore aquatic,50,15,false,15,false
Herbivore aquatic,40,15,true,14,true
Herbivore aquatic,45,15,false,15,false
Herbivore aquatic,75,15,false,15,false
Herbivore aquatic,80,15,false,15,false
Herbivore aquatic,65,15,false,15,false
Herbivore aquatic,90,15,false,15,false
Herbivore aquatic,55,15,false,15,false
Herbivore aquatic,95,15,false,15,false
Herbivore terrestrial,0,0,true,0,true
Herbivore terrestrial,10,2,true,2,true
Herbivore terrestrial,20,2,true,3,true
Herbivore terrestrial,5,2,true,2,true
Herbivore terrestrial,15,2,true,2,true
Herbivore terrestrial,45,4,false,5,false
Herbivore terrestrial,50,4,false,6,false
Herbivore terrestrial,35,4,true,4,true
Herbivore terrestrial,30,4,true,4,true
Herbivore terrestrial,25,4,true,4,true
Herbivore terrestrial,40,4,true,4,false
Herbivore terrestrial,55,5,false,6,false
Herbivore terrestrial,60,7,false,8,false
Herbivore terrestrial,65,7,false,8,false
Herbivore terrestrial,80,8,false,9,false
Herbivore terrestrial,70,8,false,8,false
Herbivore terrestrial,75,8,false,9,false
Herbivore terrestrial,95,9,false,9,false
Herbivore terrestrial,100,9,false,9,false
Herbivore terrestrial,85,9,false,9,false
Herbivore terrestrial,90,9,false,9,false